1220 4232 27 1344926831 1344926831 
1217 686 21 1337320924 1337321115 29 1337321815 1337321866 6 1337322054 1337322464 0 1337322965 1337323041 7 1337323752 1337323752 15 1337323885 1337324144 20 1337329653 1337329653 
1217 687 6 1337381658 1337383412 15 1337387676 1337388006 3 1337388117 1337389155 7 1337389296 1337424914 
1217 688 2 1337468776 1337468776 28 1337470153 1337470153 5 1337471653 1337471653 21 1337472762 1337477708 
1216 5012 27 1317866427 1317866427 
1216 5013 27 1317940248 1317940386 
1216 5014 27 1318301565 1318301671 
1216 5015 22 1324517580 1324517639 
1216 5016 25 1325564800 1325564852 
1216 5017 5 1327029675 1327029818 
1215 2682 29 1196400575 1196400575 
1215 2683 20 1242461118 1242462935 27 1242463760 1242463760 
1215 2684 23 1247294190 1247311439 
1214 1817 15 1224137702 1224137702 
1214 1818 20 1237081385 1237084465 21 1237085061 1237085313 
1214 1819 20 1246547633 1246547633 
1213 4970 15 1362899460 1362899477 
1212 2899 20 1257410051 1257410051 
1211 1774 21 1381855875 1381855875 
1210 3866 10 1344152886 1344152886 
1210 3867 20 1344772507 1344772573 
1210 3868 15 1345637299 1345637340 21 1345637522 1345637522 
1210 3869 5 1347535560 1347535560 
1210 3870 12 1348477418 1348477428 
1210 3871 5 1350297646 1350297646 
1210 3872 9 1355698031 1355698384 
1210 3873 28 1356600425 1356600425 
1210 3874 21 1359459388 1359459388 28 1359459401 1359459401 
1210 3875 22 1361360035 1361360035 
1210 3876 24 1362471841 1362471841 27 1362472012 1362472012 
1210 3877 24 1371002432 1371002489 
1210 3878 0 1373618443 1373618443 
1210 3879 29 1374121993 1374121993 
1210 3880 6 1382484466 1382484466 
1210 3881 3 1387193634 1387193634 9 1387193870 1387193870 0 1387193973 1387193973 
1219 1437 28 1156815955 1156816029 
1219 1438 5 1159486874 1159486874 
1219 1439 20 1168083579 1168083579 
1218 2800 15 1282884836 1282884836 
1231 1786 19 1349984005 1349988336 5 1349991430 1349991430 24 1349993585 1349994936 10 1349999363 1349999363 29 1350005067 1350005397 23 1350009164 1350009164 
1230 2801 7 1364542508 1364542626 15 1364544000 1364544000 
1230 2802 24 1374470921 1374470927 
0 5530 6 1380068609 1380069181 15 1380069630 1380072606 7 1380073430 1380074896 
1228 5573 21 1217916459 1217962577 
1228 5574 21 1217993225 1218197010 
1 5973 15 1104403938 1104403938 
1 5974 7 1171724917 1171724917 
1 5975 12 1215915779 1215915779 
1 5976 7 1227330261 1227330261 
1 5977 22 1228007318 1228007318 
1 5978 21 1306560358 1306560358 
1 5979 22 1306645304 1306646956 
1 5980 1 1311756088 1311756088 16 1311765590 1311765590 
